Title,Real GDP,Year-ended real GDP growth,Real non-farm GDP,Year-ended real non-farm GDP growth,Real farm GDP,Year-ended real GDP per capita growth,Real GDI,Year-ended real GDI growth,Nominal GDP,Year-ended nominal GDP growth,Terms of trade
1/09/1971,124366,5.3,114059,4.9,,,106684,0.8,10493,8.7,57.3
1/12/1971,123963,4.5,114553,4,,,110276,4.7,10903,12.2,58.2
1/03/1972,122460,2,112866,1.9,,,108124,2.8,10918,10.5,50.9
1/06/1972,125206,3.8,116164,4.5,,,107664,1,11117,8.3,54.3
1/09/1972,124572,0.2,116216,1.9,,,110678,3.7,11542,10,56.5
1/12/1972,125888,1.6,119176,4,,,110898,0.6,11702,7.3,59.6
1/03/1973,129139,5.5,122606,8.6,,,112498,4,12093,10.8,60.8
1/06/1973,129388,3.3,122453,5.4,,,117601,9.2,12697,14.2,69.4
1/09/1973,130695,4.9,123058,5.9,,,118039,6.7,13294,15.2,71.5
1/12/1973,133954,6.4,126890,6.5,,,119092,7.4,14040,20,71.1
1/03/1974,133978,3.7,127174,3.7,,,121935,8.4,14973,23.8,70.6
1/06/1974,131265,1.5,124988,2.1,,,122637,4.3,15500,22.1,74.3
1/09/1974,132830,1.6,126982,3.2,,,118778,0.6,15770,18.6,67.7
1/12/1974,132959,-0.7,127451,0.4,,0,120111,0.9,16756,19.3,67.1
1/03/1975,133483,-0.4,127276,0.1,,-2.3,119430,-2.1,17649,17.9,63.8
1/06/1975,137700,4.9,129918,3.9,,-1.8,119729,-2.4,18001,16.1,62.7
1/09/1975,136191,2.5,129711,2.1,,3.6,123361,3.9,18830,19.4,62.2
1/12/1975,134131,0.9,129282,1.4,,1.4,121555,1.2,19401,15.8,60.7
1/03/1976,140057,4.9,132796,4.3,,-0.1,119541,0.1,20335,15.2,60.3
1/06/1976,140494,2,133504,2.8,,3.9,124906,4.3,21298,18.3,60.6
1/09/1976,141630,4,134482,3.7,,1,125843,2,22240,18.1,62.7
1/12/1976,142861,6.5,136021,5.2,,3,126516,4.1,23018,18.6,61.5
1/03/1977,142086,1.4,135078,1.7,,5.4,126971,6.2,23753,16.8,59.5
1/06/1977,144099,2.6,136708,2.4,,0.4,126078,0.9,24282,14,58.8
1/09/1977,143483,1.3,135600,0.8,,1.4,127692,1.5,25105,12.9,58.3
1/12/1977,143026,0.1,135421,-0.4,,0.1,126207,-0.2,25444,10.5,55.2
1/03/1978,144039,1.4,137456,1.8,,-1.1,125232,-1.4,25731,8.3,53.5
1/06/1978,145224,0.8,139477,2,,0.2,126194,0.1,26582,9.5,53.4
1/09/1978,147433,2.8,141100,4.1,,-0.4,127592,-0.1,27373,9,54.5
1/12/1978,148653,3.9,142647,5.3,,1.6,129225,2.4,28289,11.2,53.4
1/03/1979,152728,6,145091,5.6,,2.9,130186,4,29036,12.8,53.1
1/06/1979,150278,3.5,145273,4.2,,4.9,134092,6.3,30490,14.7,54
1/09/1979,151678,2.9,146368,3.7,,2.4,132685,4,30960,13.1,56.1
1/12/1979,154604,4,149274,4.6,,1.7,133893,3.6,32033,13.2,56.2
1/03/1980,155297,1.7,148343,2.2,,2.8,136725,5,33314,14.7,56.8
1/06/1980,155699,3.6,148351,2.1,,0.5,137295,2.4,34212,12.2,56.9
1/09/1980,156530,3.2,151535,3.5,,2.3,137198,3.4,34991,13,55.7
1/12/1980,159219,3,154414,3.4,,1.9,137956,3,36146,12.8,55.6
1/03/1981,159840,2.9,153579,3.5,,1.6,140361,2.7,37805,13.5,55.5
1/06/1981,162302,4.2,155761,5,,1.4,141215,2.9,38562,12.7,56.2
1/09/1981,165585,5.8,157872,4.2,,2.7,143077,4.3,39990,14.3,55.4
1/12/1981,164908,3.6,157976,2.3,,4.1,146348,6.1,42164,16.6,56.5
1/03/1982,163582,2.3,157134,2.3,,1.9,145170,3.4,43361,14.7,54.9
1/06/1982,165026,1.7,158562,1.8,,0.6,143336,1.5,44287,14.8,53.3
1/09/1982,163940,-1,157102,-0.5,,-0.1,145129,1.4,45976,15,54.6
1/12/1982,161330,-2.2,155755,-1.4,,-2.6,144041,-1.6,46558,10.4,54.3
1/03/1983,159745,-2.3,153673,-2.2,,-3.7,141507,-2.5,47291,9.1,53.8
1/06/1983,159424,-3.4,155067,-2.2,,-3.8,140205,-2.2,47693,7.7,54.1
1/09/1983,163887,0,156385,-0.5,,-4.7,140151,-3.4,48208,4.9,54.7
1/12/1983,166616,3.3,160102,2.8,,-1.3,144104,0,51007,9.6,54.6
1/03/1984,170788,6.9,163290,6.3,,2,146865,3.8,52395,10.8,55.3
1/06/1984,172739,8.4,166386,7.3,,5.6,150518,7.4,54591,14.5,55.1
1/09/1984,174296,6.4,168433,7.7,,7.1,152404,8.7,55818,15.8,55.4
1/12/1984,175445,5.3,168247,5.1,,5.1,153847,6.8,56469,10.7,55.7
1/03/1985,177973,4.2,171958,5.3,,4,154723,5.4,57426,9.6,55.5
1/06/1985,181893,5.3,175435,5.4,,2.8,156716,4.1,59616,9.2,55.2
1/09/1985,184315,5.7,178959,6.2,,3.9,158510,4,61960,11,51.8
1/12/1985,183783,4.8,179628,6.8,5109,4.3,160649,4.4,63413,12.3,51.1
1/03/1986,184999,3.9,180061,4.7,4805,3.3,159209,2.9,64646,12.6,48.9
1/06/1986,184658,1.5,179930,2.6,5232,2.5,160265,2.3,65860,10.5,48.7
1/09/1986,185185,0.5,180437,0.8,5026,0.1,159931,0.9,67039,8.2,48.7
1/12/1986,188247,2.4,183386,2.1,5122,-1,159145,-0.9,68285,7.7,46.5
1/03/1987,190092,2.8,183817,2.1,5279,0.9,161631,1.5,70568,9.2,46.4
1/06/1987,193108,4.6,188421,4.7,6249,1.2,163407,2,72339,9.8,46.7
1/09/1987,196611,6.2,191944,6.4,5225,3,166501,4.1,75075,12,47.6
1/12/1987,200581,6.6,195550,6.6,5220,4.5,170294,7,77496,13.5,48.9
1/03/1988,201438,6,196253,6.8,5471,4.9,173859,7.6,79814,13.1,49
1/06/1988,201572,4.4,197722,4.9,5583,4.3,176129,7.8,82704,14.3,51.5
1/09/1988,203241,3.4,198546,3.4,4641,2.7,177312,6.5,84743,12.9,53.7
1/12/1988,206430,2.9,201311,2.9,5232,1.6,180414,5.9,87765,13.3,56.6
1/03/1989,208561,3.5,203741,3.8,5558,1.1,183484,5.5,90590,13.5,56.9
1/06/1989,212982,5.7,208321,5.4,5434,1.7,186762,6,93254,12.8,59.6
1/09/1989,214729,5.7,208930,5.2,5405,3.9,190624,7.5,96850,14.3,59.3
1/12/1989,214143,3.7,208367,3.5,6033,4,191594,6.2,98673,12.4,58.3
1/03/1990,215914,3.5,210607,3.4,6008,2.2,191105,4.2,100413,10.8,58.4
1/06/1990,216152,1.5,210805,1.2,5774,2.1,192574,3.1,102279,9.7,58.3
1/09/1990,214943,0.1,208890,0,5792,0,192931,1.2,104193,7.6,58.6
1/12/1990,216227,1,209809,0.7,6209,-1.4,191547,0,103569,5,58
1/03/1991,213422,-1.2,207598,-1.4,6444,-0.4,191218,0.1,104841,4.4,55.2
1/06/1991,213050,-1.4,206843,-1.9,6043,-2.5,188205,-2.3,103413,1.1,54.4
1/09/1991,214013,-0.4,208341,-0.3,6282,-2.7,187504,-2.8,103500,-0.7,53.9
1/12/1991,214128,-1,208937,-0.4,5812,-1.7,188501,-1.6,104301,0.7,54.2
1/03/1992,215825,1.1,209803,1.1,5383,-2.2,188281,-1.5,105270,0.4,53.6
1/06/1992,217349,2,211260,2.1,6160,-0.1,189898,0.9,106811,3.3,53.8
1/09/1992,219509,2.6,213510,2.5,6232,0.9,190946,1.8,107187,3.6,53.3
1/12/1992,224086,4.7,218265,4.5,6146,1.5,192254,2,108222,3.8,52.3
1/03/1993,225635,4.5,218621,4.2,5979,3.6,195804,4,110398,4.9,51.6
1/06/1993,226947,4.4,221245,4.7,7166,3.5,197240,3.9,112263,5.1,51.7
1/09/1993,227237,3.5,221309,3.7,5876,3.5,197394,3.4,113400,5.8,50.2
1/12/1993,231416,3.3,224669,2.9,6097,2.6,197383,2.7,113263,4.7,49.9
1/03/1994,235201,4.2,228409,4.5,6888,2.4,200863,2.6,115659,4.8,49.7
1/06/1994,237997,4.9,231814,4.8,6942,3.3,204567,3.7,117988,5.1,50.3
1/09/1994,239849,5.6,234367,5.9,6372,3.9,206819,4.8,119524,5.4,50.1
1/12/1994,242381,4.7,237472,5.7,5719,4.5,208629,5.7,123077,8.7,50.4
1/03/1995,242412,3.1,237868,4.1,5185,3.7,212150,5.6,122384,5.8,52.2
1/06/1995,243430,2.3,237897,2.6,4839,2,212446,3.9,124623,5.6,52.5
1/09/1995,248934,3.8,242531,3.5,5766,1.2,212852,2.9,126235,5.6,51.8
1/12/1995,248887,2.7,242235,2,6551,2.6,217937,4.5,128895,4.7,52.1
1/03/1996,252988,4.4,246206,3.5,6768,1.4,218408,2.9,131471,7.4,52.7
1/06/1996,254599,4.6,247923,4.2,6894,3.1,222672,4.8,133170,6.9,53.5
1/09/1996,256634,3.1,249600,2.9,6806,3.3,224990,5.7,135291,7.2,54.5
1/12/1996,259025,4.1,251188,3.7,7152,1.8,226777,4.1,136021,5.5,54.7
1/03/1997,260656,3,254172,3.2,7919,2.9,228949,4.8,137949,4.9,54.8
1/06/1997,268436,5.4,261288,5.4,6635,1.8,230474,3.5,139193,4.5,54.9
1/09/1997,268779,4.7,261882,4.9,7274,4.3,237876,5.7,142712,5.5,55.3
1/12/1997,272689,5.3,265580,5.7,6998,3.7,238129,5,143698,5.6,55.3
1/03/1998,274462,5.3,267471,5.2,7213,4.3,241300,5.4,147502,6.9,55
1/06/1998,277018,3.2,269517,3.1,7084,4.3,242117,5.1,148550,6.7,54.1
1/09/1998,282291,5,274280,4.7,7623,2.2,244152,2.6,149758,4.9,53.9
1/12/1998,286568,5.1,278190,4.7,8175,4,247296,3.8,152412,6.1,52.2
1/03/1999,288661,5.2,281048,5.1,8568,4,250487,3.8,155236,5.2,51.6
1/06/1999,289598,4.5,281938,4.6,7733,4.1,252879,4.4,156676,5.5,52.1
1/09/1999,292952,3.8,284427,3.7,7777,3.4,253435,3.8,157541,5.2,51.8
1/12/1999,297924,4,289769,4.2,8752,2.6,257051,3.9,160484,5.3,52.6
1/03/2000,299121,3.6,290691,3.4,8297,2.8,262394,4.8,163310,5.2,53.6
1/06/2000,301871,4.2,293816,4.2,8608,2.5,265176,4.9,168318,7.4,55.3
