Title,Household consumption,Year-ended household consumption growth,Dwelling investment,Year-ended dwelling investment growth,Business investment,Year-ended business investment growth,Public demand,Year-ended public demand growth,Domestic final demand,Year-ended domestic final demand growth,Changes in inventories,Changes in inventories contribution to GDP year-ended growth,Gross national expenditure,Year-ended gross national expenditure growth,Household consumption share of output,Dwelling investment share of output,Business investment share of output,Public demand share of output,Private non-financial corporations GOS share of output,Real household disposable income,Year-ended real household disposable income growth,Household saving ratio
Mar-08,208165,4.2,22588,0.3,53866,10.7,90565,5.8,381743,5.4,1984,-0.1,384665,5.3,55.9,5.5,16.4,23.1,18.3,234984,5.8,1.5
Jun-08,207237,2.9,22721,2.9,55089,8.9,92465,6.3,383648,4.3,-259,-0.1,384149,4.3,54.7,5.5,16.3,23.2,19.1,236384,4.5,2.6
Sep-08,206469,0.8,22578,2.7,56436,9.7,93299,7.9,384505,3.4,2841,0,388300,3.4,53.3,5.3,16.4,23.2,20.8,237843,4.7,3.8
Dec-08,206030,-0.6,22198,0,56352,8.6,93758,4.8,383952,1.7,-4167,-1.4,380306,0.1,53.4,5.2,16.7,23.5,20.1,251448,8.9,9.7
Mar-09,206903,-0.6,21661,-4.1,54132,0.5,93215,2.9,381347,-0.1,-2983,-1.3,379160,-1.4,53.7,5.1,16.1,23.5,20.4,247140,5.2,7.6
Jun-09,210216,1.4,20609,-9.3,53964,-2,93820,1.5,384418,0.2,-1304,-0.3,384197,0,55.6,4.9,16.2,24,19.1,254430,7.6,8.9
Sep-09,211137,2.3,21525,-4.7,51254,-9.2,96020,2.9,385792,0.3,638,-0.6,386645,-0.4,56,5.2,15.1,24.7,18.5,247791,4.2,5.7
Dec-09,214009,3.9,22130,-0.3,53483,-5.1,98381,4.9,394161,2.7,-1919,0.6,392535,3.2,55.9,5.3,15.2,24.9,18.9,250470,-0.4,5.5
Mar-10,215064,3.9,21645,-0.1,51279,-5.3,101749,9.2,395600,3.7,144,0.8,396150,4.5,55.3,5.1,14.2,25.4,18.6,253183,2.4,6.1
Jun-10,218204,3.8,22578,9.6,52441,-2.8,100729,7.4,399430,3.9,-1460,0,398150,3.6,54.5,5.2,14,24.5,20.2,254128,-0.1,5
Sep-10,220375,4.4,23022,7,52969,3.3,100524,4.7,402034,4.2,-44,-0.2,402642,4.1,54.3,5.2,14.1,24.3,19.8,259559,4.7,6.2
Dec-10,222799,4.1,22533,1.8,54405,1.7,100994,2.7,405575,2.9,953,0.7,407135,3.7,54,5,14.2,24.2,20.2,266210,6.3,7.6
Mar-11,224122,4.2,23128,6.9,57841,12.8,101951,0.2,412102,4.2,1175,0.3,413837,4.5,54.1,5.1,14.8,24.3,19,269259,6.3,8.2
Jun-11,225631,3.4,23159,2.6,59721,13.9,102040,1.3,414176,3.7,3497,1.2,418228,5,53.5,5,14.9,23.9,20.5,269367,6,7.6
Sep-11,227064,3,22621,-1.7,66741,26,102248,1.7,424350,5.6,-304,-0.1,424127,5.3,53.1,4.8,16.2,23.6,20.8,271727,4.7,8.1
Dec-11,227954,2.3,22287,-1.1,66432,22.1,103000,2,425505,4.9,2769,0.4,428329,5.2,53.3,4.7,16.2,24,20.4,275389,3.4,9
Mar-12,231168,3.1,21595,-6.6,71896,24.3,102100,0.1,432805,5,3438,0.5,436253,5.4,54.2,4.6,17.5,23.6,19.5,273520,1.6,7
Jun-12,232158,2.9,20841,-10,74100,24.1,105495,3.4,438464,5.9,1177,-0.6,439749,5.1,54.1,4.4,17.8,24.3,19.3,276597,2.7,7.8
Sep-12,232769,2.5,21441,-5.2,74801,12.1,103123,0.9,438384,3.3,1433,0.4,440202,3.8,54.6,4.5,17.9,23.8,19,270880,-0.3,5.3
Dec-12,233142,2.3,21881,-1.8,76115,14.6,101449,-1.5,438936,3.2,-519,-0.8,438957,2.5,54.7,4.6,18.2,23.5,18.6,274343,-0.4,6.5
Mar-13,234451,1.4,21775,0.8,72695,1.1,103717,1.6,438905,1.4,-272,-0.9,439261,0.7,54.8,4.6,17.2,23.8,18.6,277626,1.5,7.1
Jun-13,235102,1.3,22057,5.8,71647,-3.3,102438,-2.9,437571,-0.2,-755,-0.4,437444,-0.5,54.5,4.7,16.9,23.3,19,278261,0.6,7
Sep-13,237098,1.9,22348,4.2,72628,-2.9,102866,-0.2,441688,0.8,-1095,-0.6,441134,0.2,54.8,4.7,17.1,23.3,18.6,279391,3.1,6.6
Dec-13,238220,2.2,22585,3.2,70973,-6.8,104292,2.8,442771,0.9,-1925,-0.3,441336,0.5,54.5,4.7,16.5,23.4,18.9,283058,3.2,7.4
Mar-14,240001,2.4,23862,9.6,69648,-4.2,102979,-0.7,443451,1,-1737,-0.3,442101,0.6,54.8,5,16.2,23,18.5,285180,2.7,7.4
Jun-14,241036,2.5,24141,9.4,69050,-3.6,102415,0,443196,1.3,809,0.4,444206,1.5,55.2,5.1,16,22.9,18,289196,3.9,8.2
Sep-14,243228,2.6,24220,8.4,67851,-6.6,102651,-0.2,444452,0.6,2379,0.8,446952,1.3,55.8,5.2,15.8,23.1,16.9,290471,4,7.6
Dec-14,244710,2.7,25009,10.7,66877,-5.8,102415,-1.8,445613,0.6,-2094,0,443645,0.5,56,5.4,15.5,23,16.5,293024,3.5,7.8
Mar-15,245667,2.4,26287,10.2,64893,-6.8,103856,0.9,447255,0.9,899,0.6,448132,1.4,56,5.7,15,23.3,16.1,293392,2.9,7.4
Jun-15,247156,2.5,25649,6.2,63049,-8.7,105708,3.2,448222,1.1,34,-0.2,448239,0.9,56.7,5.6,14.8,23.7,15.8,296120,2.4,7.7
Sep-15,249322,2.5,26957,11.3,60122,-11.4,106154,3.4,449490,1.1,-13,-0.5,449669,0.6,56.7,5.9,14,23.8,15.6,296494,2.1,7
Dec-15,250404,2.3,27150,8.6,58748,-12.2,107667,5.1,450532,1.1,120,0.5,450782,1.6,57.1,5.9,13.7,24.3,15.5,293905,0.3,5.6
Mar-16,252392,2.7,28191,7.2,57202,-11.9,110166,6.1,454166,1.5,-308,-0.3,453903,1.3,57.2,6.1,13.3,24.7,15,296064,0.9,5.5
Jun-16,253528,2.6,28653,11.7,55805,-11.5,111678,5.6,455594,1.6,1424,0.3,456830,1.9,56.9,6.2,12.8,24.6,15,298715,0.9,5.9
Sep-16,255146,2.3,28402,5.4,53943,-10.3,113133,6.6,456645,1.6,1974,0.4,458446,2,56.7,6.1,12.2,24.7,15.6,300058,1.2,5.8
Dec-16,256918,2.6,29273,7.8,55156,-6.1,114097,6,461638,2.5,-66,0,461548,2.4,55.4,6.1,12.1,24.1,17.6,301084,2.4,5.4
Mar-17,257891,2.2,27983,-0.7,56751,-0.8,115223,4.6,464505,2.3,1627,0.4,466063,2.7,54.8,5.8,12.2,24.1,18.3,302740,2.3,5.5
Jun-17,259574,2.4,28154,-1.7,56604,1.4,117515,5.2,467994,2.7,-1385,-0.6,466805,2.2,55.4,5.9,12.1,24.7,17.7,302898,1.4,4.8
Sep-17,261338,2.4,27843,-2,59111,9.6,118509,4.8,472815,3.5,523,-0.3,473326,3.2,55.1,5.8,12.5,24.6,17.8,304151,1.4,4.5
Dec-17,263816,2.7,28105,-4,59266,7.5,120088,5.3,476938,3.3,412,0.1,477364,3.4,55.6,5.8,12.5,24.9,17.7,308526,2.5,5
Mar-18,265124,2.8,28857,3.1,59558,4.9,121769,5.7,481192,3.6,658,-0.2,481916,3.4,55.1,5.9,12.3,24.9,18.2,309608,2.3,4.8
Jun-18,267109,2.9,29687,5.4,58749,3.8,121671,3.5,482567,3.1,1849,0.7,484529,3.8,55,6.1,12.1,24.8,18,311539,2.9,4.7
Sep-18,267551,2.4,29566,6.2,58260,-1.4,124010,4.6,484769,2.5,227,-0.1,485207,2.5,54.4,6,11.9,25.1,18.5,312407,2.7,5
Dec-18,268217,1.7,28837,2.6,58004,-2.1,125518,4.5,485037,1.7,96,-0.1,485338,1.7,54.2,5.8,11.8,25.3,19.1,315912,2.4,5.8
Mar-19,268626,1.3,27976,-3.1,58459,-1.8,126823,4.2,485979,1,674,0,486710,1,53.8,5.6,11.8,25.2,19.6,317480,2.5,6.2
Jun-19,269934,1.1,27139,-8.6,57341,-2.4,129669,6.6,488062,1.1,-1865,-0.7,486150,0.3,53.6,5.4,11.5,25.6,19.5,315841,1.4,5.3
Sep-19,269969,0.9,27084,-8.4,58025,-0.4,131050,5.7,490789,1.2,-387,-0.1,490055,1,52.9,5.2,11.5,25.6,19.8,323673,3.6,7.8
Dec-19,271149,1.1,26381,-8.5,57924,-0.1,132333,5.4,492756,1.6,-1326,-0.3,491113,1.2,53.4,5.1,11.5,26,19.6,322040,1.9,6.8
Mar-20,267371,-0.5,26120,-6.6,57640,-1.4,134381,6,490552,0.9,-534,-0.2,489804,0.6,52.8,5.1,11.4,26.5,19.3,326044,2.7,9.3
Jun-20,233826,-13.4,24764,-8.8,54940,-4.2,136413,5.2,453856,-7,-3723,-0.4,449213,-7.6,49.7,5.2,11.8,29.2,24.8,337642,6.9,23.6
Sep-20,252160,-6.6,25287,-6.6,54400,-6.2,139785,6.7,476707,-2.9,1528,0.4,478567,-2.3,51.2,5.1,11.1,28.4,24.8,349682,8,20.6
Dec-20,264043,-2.6,26278,-0.4,56168,-3,141379,6.8,493881,0.2,-638,0.1,492498,0.3,51.4,5.1,11,27.5,21.8,340309,5.7,14.4
Mar-21,267398,0,27923,6.9,59365,3,141649,5.4,503347,2.6,3007,0.7,506301,3.4,50.3,5.3,11.1,26.6,20.8,343271,5.3,14
Jun-21,270245,15.6,28390,14.6,60814,10.7,143582,5.3,510936,12.6,2601,1.3,514005,14.4,49.8,5.3,11.2,26.4,21.2,339149,0.4,11.7
Sep-21,257078,2,28343,12.1,60561,11.3,148359,6.1,502685,5.4,-1898,-0.7,500787,4.6,47.7,5.4,11.3,27.5,22.2,353208,1,19.3
Dec-21,273316,3.5,27927,6.3,60791,8.2,149350,5.6,519571,5.2,1591,0.4,521162,5.8,49.5,5.3,11.1,27.1,21.9,348992,2.6,12.9
Mar-22,278320,4.1,27812,-0.4,61290,3.2,153079,8.1,528457,5,7005,0.8,535463,5.8,49.1,5.3,11,26.9,22.9,349002,1.7,11.2
Jun-22,284393,5.2,26949,-5.1,62235,2.3,152476,6.2,533717,4.5,1809,-0.1,535526,4.2,49,5.1,10.9,26.1,24.6,345794,2,8.3
Sep-22,287128,11.7,27139,-4.2,63181,4.3,152648,2.9,536899,6.8,3857,1.1,540756,8,49.9,5.3,11.2,26.2,23.3,344831,-2.4,7.1
Dec-22,288104,5.4,26902,-3.7,62685,3.1,153168,2.6,536867,3.3,1143,-0.1,538010,3.2,49.8,5.3,11.2,25.9,23.6,337506,-3.3,4.5
Mar-23,,,,,,,,,,,,,,,,,,,,,,
Jun-23,,,,,,,,,,,,,,,,,,,,,,
Sep-23,,,,,,,,,,,,,,,,,,,,,,
